ID,Workflow JSON,Catalog,Items,Created At,Updated At
control_1.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案设计信息确认\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案检索生成\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案优化\"",\""dep\"":[\""id2\""]},{\""id\"":\""id6\"",\""tool\"":\""APC\"",\""ability\"":\""辨识模型数据\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""Isover\\\"")]) Eq false\""},{\""from\"":\""id4\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""Isover\\\"")]) Eq false\""}]""}",control,APC优化气化炉控制，提升平稳性; 乙烯塔温度控制，APC方案优化; 乙烯装置乙烯塔温度APC控制优化，提升运行平稳性; 乙烯装置乙烯塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性; 产品质量波动明显，乙烯装置乙烯塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性 ... (共39个),2025-11-22 03:10:48,2025-11-22 11:10:48.578731
control_10.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI控制补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""AI可控性评估\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""关键影响因素分析\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""SPC\"",\""ability\"":\""工况识别与验证\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""SPC\"",\""ability\"":\""预测模型构建与验证\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""SPC\"",\""ability\"":\""控制器搭建及验证\"",\""dep\"":[\""id6\""]},{\""id\"":\""id9\"",\""tool\"":\""SPC\"",\""ability\"":\""在线工况识别\"",\""dep\"":[\""id1\""]},{\""id\"":\""id10\"",\""tool\"":\""SPC\"",\""ability\"":\""在线预测\"",\""dep\"":[\""id9\""]},{\""id\"":\""id11\"",\""tool\"":\""SPC\"",\""ability\"":\""在线控制\"",\""dep\"":[\""id10\""]},{\""id\"":\""id13\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id14\"",\""tool\"":\""SPC\"",\""ability\"":\""AI可控性评估\"",\""dep\"":[\""id13\""]},{\""id\"":\""id15\"",\""tool\"":\""SPC\"",\""ability\"":\""关键影响因素分析\"",\""dep\"":[\""id14\""]},{\""id\"":\""id16\"",\""tool\"":\""SPC\"",\""ability\"":\""工况识别与验证\"",\""dep\"":[\""id15\""]},{\""id\"":\""id17\"",\""tool\"":\""SPC\"",\""ability\"":\""预测模型构建与验证\"",\""dep\"":[\""id16\""]},{\""id\"":\""id18\"",\""tool\"":\""SPC\"",\""ability\"":\""控制器搭建及验证\"",\""dep\"":[\""id17\""]},{\""id\"":\""id20\"",\""tool\"":\""SPC\"",\""ability\"":\""在线工况识别\"",\""dep\"":[\""id1\""]},{\""id\"":\""id21\"",\""tool\"":\""SPC\"",\""ability\"":\""在线预测\"",\""dep\"":[\""id20\""]},{\""id\"":\""id22\"",\""tool\"":\""SPC\"",\""ability\"":\""在线控制\"",\""dep\"":[\""id21\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""},{\""from\"":\""id1\"",\""to\"":\""id9\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id1\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id13\"",\""to\"":\""id14\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""},{\""from\"":\""id1\"",\""to\"":\""id20\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""}]""}",control,折流槽pH控制，用AI实现,2025-11-22 03:11:02,2025-11-22 11:11:02.335835
control_11.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案设计信息确认\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案检索生成\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",control,查询APC控制方案参数（非优化）; 先进控制技术应用，帮我创建一个APC模型; G_LT_13001.PV过程变量大波动工况智能控制方案构建,2025-11-22 03:11:14,2025-11-22 11:11:14.745711
control_2.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI自整定补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""PID数据质量分析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""PID回路运行情况分析\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""PID强化学习自整定\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""SPC\"",\""ability\"":\""PID-AI在线自整定\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""},{\""from\"":\""id1\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""}]""}",control,FIC1101流量控制PID参数AI优化，解决设定值跟踪问题; FIC1101流量控制阀PID参数AI自整定优化，解决±5%波动问题; FIC1101的设定值是10t_h，但实际流量一直在9.5~10.5t_h之间来回跑，积分时间已经调到5分钟了还是稳不住，P和D该怎么调整？; FIC1101设定值跟踪，AI调PID; FIC1101这个流量控制阀波动太大，PV值一直在±5%范围内晃，手动控制还行，切自动就震荡，该怎么调PID？ ... (共34个),2025-11-22 03:10:48,2025-11-22 11:10:48.779264
control_3.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI控制补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""AI可控性评估\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""关键影响因素分析\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""SPC\"",\""ability\"":\""工况识别与验证\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""SPC\"",\""ability\"":\""预测模型构建与验证\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""SPC\"",\""ability\"":\""控制器搭建及验证\"",\""dep\"":[\""id6\""]},{\""id\"":\""id9\"",\""tool\"":\""SPC\"",\""ability\"":\""在线工况识别\"",\""dep\"":[\""id1\""]},{\""id\"":\""id10\"",\""tool\"":\""SPC\"",\""ability\"":\""在线预测\"",\""dep\"":[\""id9\""]},{\""id\"":\""id11\"",\""tool\"":\""SPC\"",\""ability\"":\""在线控制\"",\""dep\"":[\""id10\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""},{\""from\"":\""id1\"",\""to\"":\""id9\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""}]""}",control,F_TIC_16008.PV回路AI智能控制方案设计; F_TIC_16008.PV过程变量受未知干扰因素影响，无法实现自动控制，怎样实现该回路的自动控制？; G_LT_13001.PV过程变量受未知因素的影响、大时间滞后，工况多变，如何实现该回路的自动化控制; G_LT_13001.PV过程变量，大波动过程无法通过PID、APC实现自动化控制，如何实现智能控制; G_LT_13001.PV过程变量，大波动过程无法通过PID、APC实现自动化控制，如何实现智能控制（核心意图） ... (共30个),2025-11-22 03:10:48,2025-11-22 11:10:48.815480
control_4.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI控制补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""上传数据与解析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""确认解析结果\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""SPC\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id4\""]},{\""id\"":\""id7\"",\""tool\"":\""SPC\"",\""ability\"":\""配置方案\"",\""dep\"":[\""id1\""]},{\""id\"":\""id8\"",\""tool\"":\""SPC\"",\""ability\"":\""实时计算\"",\""dep\"":[\""id7\""]}]"", ""branch_rules"": ""[]""}",control,F_TIC_16008回路AI控制方案,2025-11-22 03:10:48,2025-11-22 11:10:48.852677
control_5.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI控制补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""AI可控性评估\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""关键影响因素分析\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""SPC\"",\""ability\"":\""工况识别与验证\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""SPC\"",\""ability\"":\""预测模型构建与验证\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""SPC\"",\""ability\"":\""控制器搭建及验证\"",\""dep\"":[\""id6\""]},{\""id\"":\""id9\"",\""tool\"":\""SPC\"",\""ability\"":\""在线工况识别\"",\""dep\"":[\""id1\""]},{\""id\"":\""id10\"",\""tool\"":\""SPC\"",\""ability\"":\""在线预测\"",\""dep\"":[\""id9\""]},{\""id\"":\""id11\"",\""tool\"":\""SPC\"",\""ability\"":\""在线控制\"",\""dep\"":[\""id10\""]},{\""id\"":\""id13\"",\""tool\"":\""SPC\"",\""ability\"":\""配置方案\"",\""dep\"":[\""id1\""]},{\""id\"":\""id14\"",\""tool\"":\""SPC\"",\""ability\"":\""实时计算\"",\""dep\"":[\""id13\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""},{\""from\"":\""id1\"",\""to\"":\""id9\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""}]""}",control,G_LT_13001.PV过程变量大波动工况智能控制方案构建,2025-11-22 03:10:48,2025-11-22 11:10:48.889774
control_6.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""EXAM\"",\""ability\"":\""考试题目生成\"",\""dep\"":null}]"", ""branch_rules"": ""[]""}",control,专业水平测试，生成考试; 专业认证需求，生成考试; 人员能力评估，生成考试; 培训计划需要，生成考试; 岗位认证考核，生成考试 ... (共12个),2025-11-22 03:10:49,2025-11-22 11:10:49.471068
control_7.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案优化\"",\""dep\"":null}]"", ""branch_rules"": ""[]""}",control,优化APC模型性能（非创建模型）; 重整装置分馏塔APC控制方案优化，降低操作频次,2025-11-22 03:10:49,2025-11-22 11:10:49.778519
control_8.png,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案设计信息确认\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案检索生成\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案优化\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""Isover\\\"")]) Eq false\""}]""}",control,常减压装置APC优化，降低操作频次; 电解槽槽温波动，APC控制优化一下; 先进控制技术应用，帮我创建一个APC模型; 如何设计电解槽的闭环控制系统，使其能自主调节槽温偏差，从而显著降低人工校正的频率？,2025-11-22 03:10:51,2025-11-22 11:10:51.527383
