title,workflow_json,catalog
气化炉模型在氧气进料量±5%随机波动条件下，执行稳态工况鲁棒性模拟验证，识别敏感输出参数,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""AI可控性评估\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""关键影响因素分析\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""工况识别与验证\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""SPC\"",\""ability\"":\""预测模型构建与验证\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""SPC\"",\""ability\"":\""控制器搭建及验证\"",\""dep\"":[\""id5\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",control
原料切换期间，甲烷装置出料常一线的流量和温度分别是多少,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""APC装置信息查询\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""APC\"",\""ability\"":\""APC控制器性能监控查询\"",\""dep\"":[\""id1\""]},{\""id\"":\""id5\"",\""tool\"":\""APC\"",\""ability\"":\""控制器实时指标数据查询\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",statistics
气化炉模型在氧气进料量±5%随机波动条件下，执行稳态工况鲁棒性模拟验证，识别敏感输出参数,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""AI可控性评估\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""关键影响因素分析\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""工况识别与验证\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""SPC\"",\""ability\"":\""预测模型构建与验证\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",control
修改二级硫冷凝器H2S浓度报警阈值（非异常检测）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""回路运行实时状态计算\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""PID\"",\""ability\"":\""多策略自适应整定\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[]""}",statistics
AAA回路PID帮忙弄一下，数据和震荡也看看,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""控制回路性能评估及诊断\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""PID\"",\""ability\"":\""基于回路波形判断的参数迭代整定\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""isValveOscillate\\\"")]) Eq true\""}]""}",statistics
PID回路性能评估及异常诊断分析,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""回路数据有效性检测\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""PID\"",\""ability\"":\""控制回路性能评估及诊断\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq true\""}]""}",statistics
二级硫冷凝器出口气体H2S浓度最近是否有异常，异常存在的风险有哪些,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""alarm_pred\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""alarm_pred\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""alarm_pred\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""alarm_pred\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",prediction
优化APC过程控制模型性能（非创建模型）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""APC装置信息查询\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""APC\"",\""ability\"":\""APC控制器性能监控查询\"",\""dep\"":[\""id1\""]},{\""id\"":\""id5\"",\""tool\"":\""APC\"",\""ability\"":\""控制器历史指标数据查询\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",statistics
优化二级硫冷凝器H2S浓度控制策略（非异常检测）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id6\""]},{\""id\"":\""id9\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id9\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id10\"",\""id2\""]},{\""id\"":\""id12\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id11\""]},{\""id\"":\""id13\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id12\"",\""id11\""]},{\""id\"":\""id14\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id13\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id11\"",\""to\"":\""id12\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
优化锅炉回路控制参数（非设计方案）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""用户交互界面\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""PID\"",\""ability\"":\""回路数据有效性检测\"",\""dep\"":[\""id2\""]},{\""id\"":\""id5\"",\""tool\"":\""PID\"",\""ability\"":\""基于专家经验的参数整定\"",\""dep\"":[\""id3\""]},{\""id\"":\""id7\"",\""tool\"":\""PID\"",\""ability\"":\""控制回路性能评估及诊断\"",\""dep\"":[\""id3\""]},{\""id\"":\""id8\"",\""tool\"":\""PID\"",\""ability\"":\""多策略自适应整定\"",\""dep\"":[\""id7\""]},{\""id\"":\""id10\"",\""tool\"":\""PID\"",\""ability\"":\""基于回路波形判断的参数迭代整定\"",\""dep\"":[\""id7\""]}]"", ""branch_rules"": ""[{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq false\""},{\""from\"":\""id3\"",\""to\"":\""id7\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq true\""},{\""from\"":\""id7\"",\""to\"":\""id8\"",\""expression\"":\""Variable([String(\\\""isValveOscillate\\\"")]) Eq false\""},{\""from\"":\""id7\"",\""to\"":\""id10\"",\""expression\"":\""Variable([String(\\\""isValveOscillate\\\"")]) Eq true\""}]""}",statistics
停用锅炉回路自动控制（非设计方案）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":null}]"", ""branch_rules"": ""[]""}",optimization
分析需求明确，基于xlsx上传文件，帮我分析存在什么异常？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":null}]"", ""branch_rules"": ""[]""}",control
同类装置对比差异，分析一下常减压装置能耗高的原因,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[]""}",evaluation
同类装置能效对比，常减压装置的设备和环节可能会造成用能瓶颈，请帮我评估一下并给出解决方案？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",evaluation
同类设备故障频发，请识别渣油泵异常点,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT模型微调\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id4\""]},{\""id\"":\""id7\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",evaluation
基于pdf上传文件，帮我分析存在什么异常？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""IDX\"",\""ability\"":\""查询请求分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""IDX\"",\""ability\"":\""上传数据与解析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""IDX\"",\""ability\"":\""确认解析结果\"",\""dep\"":[\""id2\""]},{\""id\"":\""id5\"",\""tool\"":\""IDX\"",\""ability\"":\""执行查询与反馈\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[]""}",statistics
备份考试题目（非生成）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""OTS\"",\""ability\"":\""检测评分服务状态\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""OTS\"",\""ability\"":\""生成工艺模型并执行\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""OTS\"",\""ability\"":\""模拟设备参数值\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""OTS\"",\""ability\"":\""加载工况\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""OTS\"",\""ability\"":\""查看流程图\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""OTS\"",\""ability\"":\""检测评分服务状态\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[]""}",simulation
定期性能监测需求，帮我评估有什么异常,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""APC装置信息查询\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""APC\"",\""ability\"":\""装置指标实时指标数据查询\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",statistics
导出XLSX文件数据（非异常分析）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI控制补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",control
执行1号电解槽离子膜寿命预测及最佳更换时机经济效益评估,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""离子膜寿命预测\"",\""dep\"":[\""id2\""]},{\""id\"":\""id5\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id6\"",\""tool\"":\""离子膜寿命预测\"",\""ability\"":\""离子膜寿命预测\"",\""dep\"":[\""id5\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""opt_model_selected\\\"")]) Eq false\""},{\""from\"":\""id1\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""opt_model_selected\\\"")]) Eq false\""}]""}",prediction
换热系统综合性能评估，网络与设备协同分析,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""确定优化方向\"",\""dep\"":[\""id3\""]},{\""id\"":\""id7\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[]""}",optimization
