文件名,思维链ID,catalog,show_name,测试数据内容,测试维度,子维度,测试数据编号,匹配数量,arm匹配数量,x86匹配数量,ds_arm_1763465633,ds_arm_1763473579,ds_arm_1763481480,ds_arm_1763489334,ds_arm_1763497259,ds_arm_1763505166,ds_arm_1763513051,ds_arm_1763520920,ds_arm_1763528836,ds_x86_1763465597,ds_x86_1763471092,ds_x86_1763476565,ds_x86_1763482028,ds_x86_1763487471,ds_x86_1763492916,ds_x86_1763498413,ds_x86_1763503903,ds_x86_1763509373
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,如何通过APC提高气化炉运行平稳性，降低操作频次,场景与功能全覆盖,直接复用语料,2011/1/1,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,针对电解槽槽温等关键指标波动，如何进一步提高运行平稳性，降低操作频次,场景与功能全覆盖,直接复用语料,2011/1/2,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,常减压装置常压塔温度波动大，操作频次高，如何优化控制以提升运行平稳性,场景与功能全覆盖,直接复用语料,2011/1/3,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,乙烯装置乙烯塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性,场景与功能全覆盖,直接复用语料,2011/1/4,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,重整装置分馏塔温度波动大，操作频次高，如何优化控制方案，提升运行平稳性,场景与功能全覆盖,直接复用语料,2011/1/5,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,执行APC控制方案优化，提升气化炉运行平稳性并降低操作频次,输入表述形态多样性,专业规范表述,2011/2/1,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,电解槽槽温等关键指标波动控制优化，通过APC提高运行平稳性,输入表述形态多样性,专业规范表述,2011/2/2,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,常减压装置常压塔温度波动APC控制优化方案设计,输入表述形态多样性,专业规范表述,2011/2/3,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,乙烯装置乙烯塔温度APC控制优化，提升运行平稳性,输入表述形态多样性,专业规范表述,2011/2/4,18,9,9,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程
control_ds.csv,11,control,APC控制方案优化与设备稳定性提升流程,重整装置分馏塔APC控制方案优化，降低操作频次,输入表述形态多样性,专业规范表述,2011/2/5,9,9,0,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,APC控制方案优化与设备稳定性提升流程,,,,,,,,,
